source,ourDatabase,databaseLabel
therightstuff.biz,TRUE,Fake
realtimepolitics.com,TRUE,Fake
en-volve.com,TRUE,Fake
dailypresser.com,TRUE,Fake
dailyworldinformation.com,TRUE,Fake
freedomsfinalstand.com,TRUE,Fake
exposinggovernment.com,TRUE,Fake
londonwebnews.com,TRUE,Fake
newromantimes.com,TRUE,Fake
speakgov.com,TRUE,Fake
conservativepost.com,TRUE,Fake
clarionproject.org,TRUE,Fake
callthecops.net,TRUE,Fake
truthuncensored.net,TRUE,Fake
democraticmoms.com,TRUE,Fake
qpolitical.com,TRUE,Fake
truthrevolt.org,TRUE,Fake
thegatewaypundit.com,TRUE,Fake
conservativefiringline.com,TRUE,Fake
politicops.com,TRUE,Fake
defiantamerica.com,TRUE,Fake
teddystick.com,TRUE,Fake
stonecoldtruth.com,TRUE,Fake
plymouthpatriotpost.com,TRUE,Fake
remnantnewspaper.com,TRUE,Fake
unclesamsmisguidedchildren.com,TRUE,Fake
ageofshitlords.com,TRUE,Fake
undergroundjournalist.org,TRUE,Fake
nottnews.com,TRUE,Fake
defund.com,TRUE,Fake
knightstemplarinternational.com,TRUE,Fake
politicslive.net,TRUE,Fake
usadosenews.com,TRUE,Fake
conservative101.com,TRUE,Fake
sonsoflibertymedia.com,TRUE,Fake
nationalvanguard.org,TRUE,Fake
eaglerising.com,TRUE,Fake
defendevropa.org,TRUE,Fake
freetelegraph.com,TRUE,Fake
conservapedia.com-Main_Page,TRUE,Fake
theamericanmirror.com,TRUE,Fake
ruthinstitute.org,TRUE,Fake
informationliberation.com,TRUE,Fake
americantruthseekers.com,TRUE,Fake
themillenniumreport.com,TRUE,Fake
oppositionreport.com,TRUE,Fake
avoiceformen.com,TRUE,Fake
christwire.org,TRUE,Fake
usainfront.com,TRUE,Fake
infogalactic.com,TRUE,Fake
magapill.com,TRUE,Fake
newsblaze.com,TRUE,Fake
thenationalpatriot.com,TRUE,Fake
staresattheworld.com,TRUE,Fake
bluetribune.com,TRUE,Fake
thedcgazette.com,TRUE,Fake
newyorker.com-humor-borowitz-report,TRUE,Fake
freakoutnation.com,TRUE,Fake
steadfastandloyal.com,TRUE,Fake
tfp.org,TRUE,Fake
girlsjustwannahaveguns.com,TRUE,Fake
pacificpundit.com,TRUE,Fake
memri.org,TRUE,Fake
nationaleconomicseditorial.com,TRUE,Fake
cis.org,TRUE,Fake
consnation.com,TRUE,Fake
thelibertyeagle.com,TRUE,Fake
thewashingtonreporter.com,TRUE,Fake
mediazone.news,TRUE,Fake
imowired.com,TRUE,Fake
censored.news,TRUE,Fake
the-daily-news.co.uk,TRUE,Fake
freewoodpost.com,TRUE,Fake
truebluescoop.com,TRUE,Fake
rochdaleherald.co.uk,TRUE,Fake
thewashingtonstandard.com,TRUE,Fake
bannedinformation.com,TRUE,Fake
ilovemyfreedom.org,TRUE,Fake
hardnews.network,TRUE,Fake
ihypocrite.net,TRUE,Fake
usafirstinformation.com,TRUE,Fake
patriotupdate.com,TRUE,Fake
jewwatch.com,TRUE,Fake
dailycurrant.com,TRUE,Fake
allenwestrepublic.com,TRUE,Fake
lozierinstitute.org,TRUE,Fake
americanprinciplesproject.org,TRUE,Fake
cernovich.com,TRUE,Fake
christianaction.org,TRUE,Fake
conservativefreepress.com,TRUE,Fake
americantoday.news,TRUE,Fake
debka.com,TRUE,Fake
breitbart.com,TRUE,Fake
cnsnews.com,TRUE,Fake
americanjournalreview.com,TRUE,Fake
concernedwomen.org,TRUE,Fake
canadafreepress.com,TRUE,Fake
conservapedia.com,TRUE,Fake
blingnews.com,TRUE,Fake
discoverthenetworks.org,TRUE,Fake
altright.com,TRUE,Fake
pamelageller.com,TRUE,Fake
profam.org,TRUE,Fake
ghost.report,TRUE,Fake
factcheckingturkey.com,TRUE,Fake
myrightamerica.com,TRUE,Fake
judicialwatch.org,TRUE,Fake
dailystormer.name,TRUE,Fake
meforum.org,TRUE,Fake
usafortrumponline.com,TRUE,Fake
molonlabemedia.com,TRUE,Fake
prideof-america.org,TRUE,Fake
newnation.org,TRUE,Fake
polipace.com,TRUE,Fake
patriotbeat.com,TRUE,Fake
shariawatch.org.uk,TRUE,Fake
swampdrain.com,TRUE,Fake
lastresistance.com,TRUE,Fake
rightwingtribune.com,TRUE,Fake
